iter	Passed	Remaining
0	1	147
1	2	143
2	4	135
3	5	129
4	6	129
5	8	126
6	9	122
7	10	121
8	11	119
9	13	119
10	14	118
11	15	117
12	17	116
13	18	114
14	19	112
15	21	111
16	22	109
17	23	108
18	24	105
19	26	104
20	27	103
21	28	102
22	29	100
23	31	98
24	32	96
25	33	95
26	34	93
27	35	92
28	37	90
29	38	89
30	39	87
31	40	86
32	41	85
33	42	83
34	44	81
35	45	80
36	46	78
37	47	77
38	48	76
39	49	74
40	50	73
41	52	72
42	53	70
43	54	69
44	55	67
45	56	66
46	57	65
47	58	63
48	59	62
49	61	61
50	62	60
51	63	58
52	64	57
53	65	56
54	67	54
55	68	53
56	69	52
57	70	51
58	71	49
59	72	48
60	74	47
61	75	46
62	76	44
63	77	43
64	78	42
65	80	41
66	81	40
67	82	38
68	83	37
69	85	36
70	86	35
71	87	34
72	88	32
73	89	31
74	90	30
75	92	29
76	93	27
77	94	26
78	95	25
79	96	24
80	98	23
81	99	21
82	100	20
83	101	19
84	103	18
85	104	16
86	105	15
87	106	14
88	108	13
89	109	12
90	110	10
91	111	9
92	113	8
93	114	7
94	115	6
95	116	4
96	118	3
97	119	2
98	120	1
99	122	0
