iter	Passed	Remaining
0	146	146560
1	149	74790
2	151	50445
3	158	39376
4	165	32929
5	168	27908
6	170	24196
7	173	21469
8	175	19357
9	199	19761
10	202	18193
11	205	16950
12	208	15792
13	209	14767
14	211	13921
15	214	13165
16	216	12500
17	218	11901
18	219	11351
19	221	10877
20	224	10446
21	226	10067
22	228	9720
23	232	9449
24	234	9145
25	236	8868
26	241	8697
27	243	8452
28	245	8210
29	247	7989
30	248	7780
31	252	7629
32	254	7453
33	256	7273
34	257	7102
35	260	6962
36	262	6824
37	264	6688
38	266	6556
39	270	6488
40	272	6375
41	274	6263
42	276	6156
43	278	6051
44	280	5953
45	282	5856
46	284	5762
47	286	5672
48	288	5604
49	291	5533
50	294	5481
51	296	5413
52	299	5343
53	300	5271
54	302	5201
55	304	5133
56	306	5072
57	308	5009
58	310	4950
59	312	4891
60	314	4836
61	317	4797
62	319	4746
63	320	4693
64	323	4646
65	324	4598
66	330	4601
67	332	4557
68	334	4515
69	338	4493
70	339	4444
71	341	4398
72	343	4361
73	345	4319
74	346	4277
75	348	4235
76	350	4195
77	351	4159
78	354	4127
79	355	4089
80	357	4055
81	359	4025
82	360	3982
83	361	3945
84	366	3950
85	368	3919
86	372	3905
87	374	3876
88	375	3846
89	378	3822
90	380	3804
91	383	3788
92	386	3769
93	388	3745
94	390	3723
95	392	3700
96	394	3675
97	396	3653
98	399	3631
99	401	3611
100	403	3592
101	407	3588
102	409	3566
103	411	3546
104	413	3527
105	415	3505
106	417	3484
107	419	3462
108	421	3442
109	423	3425
110	425	3411
111	428	3394
112	430	3376
113	432	3361
114	434	3343
115	436	3325
116	437	3303
117	439	3285
118	441	3267
119	443	3252
120	445	3237
121	447	3217
122	449	3201
123	450	3184
124	452	3170
125	454	3153
126	455	3134
127	457	3117
128	459	3102
129	461	3089
130	463	3073
131	465	3060
132	467	3044
133	468	3030
134	470	3014
135	472	3002
136	475	2992
137	476	2979
138	478	2966
139	482	2961
140	484	2949
141	485	2933
142	487	2921
143	489	2907
144	490	2894
145	492	2882
146	495	2872
147	496	2860
148	498	2848
149	500	2838
150	502	2827
151	505	2818
152	507	2807
153	509	2796
154	511	2789
155	513	2779
156	515	2768
157	517	2756
158	521	2759
159	524	2751
160	525	2738
161	527	2729
162	529	2718
163	534	2724
164	537	2718
165	539	2712
166	541	2703
167	543	2693
168	545	2684
169	547	2674
170	549	2666
171	552	2657
172	554	2648
173	556	2640
174	558	2630
175	559	2621
176	561	2611
177	563	2601
178	565	2594
179	567	2584
180	569	2575
181	571	2566
182	573	2558
183	574	2549
184	576	2539
185	578	2531
186	580	2524
187	582	2516
188	584	2509
189	586	2502
190	589	2495
191	591	2488
192	593	2480
193	595	2472
194	596	2464
195	599	2457
196	600	2449
197	602	2441
198	604	2433
199	606	2424
200	608	2417
201	610	2410
202	611	2402
203	613	2395
204	615	2387
205	617	2379
206	619	2372
207	621	2368
208	623	2359
209	625	2352
210	628	2349
211	630	2343
212	632	2338
213	634	2331
214	636	2325
215	638	2318
216	640	2312
217	642	2305
218	644	2298
219	646	2291
220	648	2285
221	650	2278
222	652	2272
223	653	2265
224	655	2258
225	657	2252
226	659	2246
227	661	2239
228	663	2234
229	665	2228
230	667	2223
231	670	2217
232	671	2211
233	674	2207
234	677	2204
235	679	2198
236	681	2192
237	683	2188
238	685	2183
239	688	2178
240	689	2172
241	692	2168
242	694	2163
243	696	2157
244	699	2154
245	701	2149
246	702	2142
247	704	2137
248	706	2131
249	709	2128
250	713	2128
251	715	2122
252	717	2117
253	719	2112
254	721	2106
255	723	2101
256	725	2097
257	727	2091
258	729	2086
259	731	2081
